,gpwr,in-hand delta,game-weighted in-hand delta,distance-one delta,gihwr,gnswr,cs bias,cs var,cs mean,deck gihwr,deck gnswr,deck ihd form,deck ihd meas,deck ihdd
A Killer Among Us,0.5668703007518797,0.03224593148886312,0.028657657417032967,0.020020865658417875,0.5991162322407428,0.543486186502471,0.005399493607371136,13.008311479587903,16.550883530762555,0.5705574850921363,0.564277803844203,0.0042437791641864895,0.0036871843402566107,0.0005565948239298788
Absolving Lammasu,0.5314581211313955,-0.004835501621096139,-0.0056768755912446345,-0.01602840911187975,0.5266226195102993,0.5348989766465495,-0.005381244841611638,13.281988873726961,16.443177087669635,0.5273558767566846,0.534317750423009,-0.004346704638161614,-0.004102244374710851,-0.0002444602634507631
Aftermath Analyst,0.5289703071831445,0.008067734820437211,-0.0010715644957037807,-0.014194550020407704,0.5370380420035817,0.5228739482068459,0.010279847506487338,14.591417038405986,17.032871027629135,0.5375496395322124,0.5226007342370513,0.008806356944467119,0.008579332349067825,0.00022702459539929339
Agency Coroner,0.5085244885306882,-0.00495171681199702,-0.020848543309792633,-0.030340964946768634,0.5035727717186912,0.5126315789473684,0.01185002708380921,14.22428834962644,16.91307919815971,0.5188343603286385,0.500979707966502,0.00996614514814817,0.010309871797950287,-0.0003437266498021174
Agency Outfitter,0.4876644736842105,0.006265238775853388,-0.010785034595672649,-0.05362349440995495,0.4939297124600639,0.4827420901246405,0.011789325915844001,17.0625165160711,17.480148528991716,0.49888646664889197,0.47895544006134444,0.011507657833616606,0.01122199296468146,0.00028566486893514577
"Agrus Kos, Spirit of Justice",0.5762854950115119,0.05420075521613332,0.06795571376283394,0.026172420577285638,0.6304862502276453,0.5371572393694529,-0.012008000847854946,11.491722453825039,15.91386030558154,0.5675443590015727,0.5820575061959645,-0.008671221835499336,-0.008741136009939199,6.991417443986264e-05
Airtight Alibi,0.5341603207491322,0.0009386590495300551,-0.0033324610340947913,-0.012126099740193963,0.5350989797986623,0.5335151813262979,0.002669308249307559,11.357310457749854,16.17520458980109,0.535937117333551,0.5329570084768998,0.0018742367261267202,0.0017767965844187605,9.744014170795967e-05
Alley Assailant,0.5357565738030875,0.0002925694235532683,-0.007038006159959309,-0.004956238948669367,0.5360491432266408,0.5356706851823593,0.005707052427042786,12.69222373991844,16.55965220299306,0.5403688045918966,0.5325028504587881,0.004374197320785479,0.004612230788809124,-0.00023803346802364535
"Alquist Proft, Master Sleuth",0.5439550313306303,0.037844766444900535,0.030246171157648494,-0.0020171702507567613,0.5817997977755308,0.5124176381145463,0.006154569953668508,18.09512040110162,17.551820728291318,0.5503113939737652,0.538986890817005,0.006345078727309666,0.006356362643134883,-1.1283915825216831e-05
Analyze the Pollen,0.5453038674033149,-0.0011269632264107043,-0.01032722993056634,0.00017382712532920674,0.5441769041769042,0.5460260440053885,0.007543973697387345,13.747128279891388,16.81269273743017,0.5517283192748713,0.5406406492675386,0.006168433324616994,0.00642445187155638,-0.00025601854693938636
